Bidding Exercise,Announcement Date,Year,Category,Quota,Total Bids Received,Number of Successful Bids,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
October 2010 Second Open Bidding Exercise,2010-10-20,2010,Cat B (Cars above 1600cc or 97kW),479,766,478,,,,,,,,,,,
November 2010 First Open Bidding Exercise,2010-11-03,2010,Cat B (Cars above 1600cc or 97kW),482,718,482,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,2010-11-18,2010,Cat B (Cars above 1600cc or 97kW),480,709,459,,,,,,,,,,,
December 2010 First Open Bidding Exercise,2010-12-08,2010,Cat B (Cars above 1600cc or 97kW),479,1034,477,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,2010-12-22,2010,Cat B (Cars above 1600cc or 97kW),499,872,494,,,,,,,,,,,
January 2011 First Open Bidding Exercise,2011-01-05,2011,Cat B (Cars above 1600cc or 97kW),481,790,474,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,2011-01-19,2011,Cat B (Cars above 1600cc or 97kW),483,700,482,,,,,,,,,,,
February 2011 First Open Bidding Exercise,2011-02-09,2011,Cat B (Cars above 1600cc or 97kW),431,640,431,,,,,,,,,,,
February 2011 Second Open Bidding Exercise,2011-02-23,2011,Cat B (Cars above 1600cc or 97kW),424,726,423,,,,,,,,,,,
March 2011 First Open Bidding Exercise,2011-03-09,2011,Cat B (Cars above 1600cc or 97kW),424,667,423,,,,,,,,,,,
March 2011 Second Open Bidding Exercise,2011-03-23,2011,Cat B (Cars above 1600cc or 97kW),424,579,424,,,,,,,,,,,
April 2011 First Open Bidding Exercise,2011-04-06,2011,Cat B (Cars above 1600cc or 97kW),425,542,410,,,,,,,,,,,
April 2011 Second Open Bidding Exercise,2011-04-20,2011,Cat B (Cars above 1600cc or 97kW),423,627,422,,,,,,,,,,,
May 2011 First Open Bidding Exercise,2011-05-05,2011,Cat B (Cars above 1600cc or 97kW),439,650,439,,,,,,,,,,,
May 2011 Second Open Bidding Exercise,2011-05-19,2011,Cat B (Cars above 1600cc or 97kW),424,564,424,,,,,,,,,,,
June 2011 First Open Bidding Exercise,2011-06-08,2011,Cat B (Cars above 1600cc or 97kW),424,759,403,,,,,,,,,,,
June 2011 Second Open Bidding Exercise,2011-06-22,2011,Cat B (Cars above 1600cc or 97kW),423,684,410,,,,,,,,,,,
July 2011 First Open Bidding Exercise,2011-07-06,2011,Cat B (Cars above 1600cc or 97kW),445,728,444,,,,,,,,,,,
July 2011 Second Open Bidding Exercise,2011-07-20,2011,Cat B (Cars above 1600cc or 97kW),436,626,436,,,,,,,,,,,
August 2011 First Open Bidding Exercise,2011-08-03,2011,Cat B (Cars above 1600cc or 97kW),354,469,349,,,,,,,,,,,
August 2011 Second Open Bidding Exercise,2011-08-17,2011,Cat B (Cars above 1600cc or 97kW),353,527,353,,,,,,,,,,,
September 2011 First Open Bidding Exercise,2011-09-07,2011,Cat B (Cars above 1600cc or 97kW),359,496,356,,,,,,,,,,,
September 2011 Second Open Bidding Exercise,2011-09-21,2011,Cat B (Cars above 1600cc or 97kW),353,469,353,,,,,,,,,,,
October 2011 First Open Bidding Exercise,2011-10-05,2011,Cat B (Cars above 1600cc or 97kW),356,524,353,,,,,,,,,,,
October 2011 Second Open Bidding Exercise,2011-10-19,2011,Cat B (Cars above 1600cc or 97kW),353,633,353,,,,,,,,,,,
November 2011 First Open Bidding Exercise,2011-11-10,2011,Cat B (Cars above 1600cc or 97kW),356,551,355,,,,,,,,,,,
November 2011 Second Open Bidding Exercise,2011-11-23,2011,Cat B (Cars above 1600cc or 97kW),353,518,338,,,,,,,,,,,
December 2011 First Open Bidding Exercise,2011-12-07,2011,Cat B (Cars above 1600cc or 97kW),354,474,351,,,,,,,,,,,
December 2011 Second Open Bidding Exercise,2011-12-21,2011,Cat B (Cars above 1600cc or 97kW),368,464,368,,,,,,,,,,,
January 2012 First Open Bidding Exercise,2012-01-05,2012,Cat B (Cars above 1600cc or 97kW),356,511,356,,,,,,,,,,,
January 2012 Second Open Bidding Exercise,2012-01-18,2012,Cat B (Cars above 1600cc or 97kW),353,537,351,,,,,,,,,,,
February 2012 First Open Bidding Exercise,2012-02-08,2012,Cat B (Cars above 1600cc or 97kW),350,635,346,,,,,,,,,,,
February 2012 Second Open Bidding Exercise,2012-02-22,2012,Cat B (Cars above 1600cc or 97kW),351,580,348,,,,,,,,,,,
March 2012 First Open Bidding Exercise,2012-03-07,2012,Cat B (Cars above 1600cc or 97kW),354,626,352,,,,,,,,,,,
March 2012 Second Open Bidding Exercise,2012-03-21,2012,Cat B (Cars above 1600cc or 97kW),352,529,352,,,,,,,,,,,
April 2012 First Open Bidding Exercise,2012-04-04,2012,Cat B (Cars above 1600cc or 97kW),352,483,348,,,,,,,,,,,
April 2012 Second Open Bidding Exercise,2012-04-18,2012,Cat B (Cars above 1600cc or 97kW),349,563,349,,,,,,,,,,,
May 2012 First Open Bidding Exercise,2012-05-09,2012,Cat B (Cars above 1600cc or 97kW),354,545,354,,,,,,,,,,,
May 2012 Second Open Bidding Exercise,2012-05-23,2012,Cat B (Cars above 1600cc or 97kW),349,482,349,,,,,,,,,,,
June 2012 First Open Bidding Exercise,2012-06-06,2012,Cat B (Cars above 1600cc or 97kW),350,490,342,,,,,,,,,,,
June 2012 Second Open Bidding Exercise,2012-06-20,2012,Cat B (Cars above 1600cc or 97kW),349,477,346,,,,,,,,,,,
July 2012 First Open Bidding Exercise,2012-07-04,2012,Cat B (Cars above 1600cc or 97kW),358,459,358,,,,,,,,,,,
July 2012 Second Open Bidding Exercise,2012-07-18,2012,Cat B (Cars above 1600cc or 97kW),353,549,352,,,,,,,,,,,
August 2012 First Open Bidding Exercise,2012-08-08,2012,Cat B (Cars above 1600cc or 97kW),350,489,345,,,,,,,,,,,
August 2012 Second Open Bidding Exercise,2012-08-23,2012,Cat B (Cars above 1600cc or 97kW),351,532,351,,,,,,,,,,,
September 2012 First Open Bidding Exercise,2012-09-05,2012,Cat B (Cars above 1600cc or 97kW),355,466,355,,,,,,,,,,,
September 2012 Second Open Bidding Exercise,2012-09-19,2012,Cat B (Cars above 1600cc or 97kW),351,523,349,,,,,,,,,,,
October 2012 First Open Bidding Exercise,2012-10-03,2012,Cat B (Cars above 1600cc or 97kW),350,414,350,,,,,,,,,,,
October 2012 Second Open Bidding Exercise,2012-10-17,2012,Cat B (Cars above 1600cc or 97kW),353,540,353,,,,,,,,,,,
November 2012 First Open Bidding Exercise,2012-11-07,2012,Cat B (Cars above 1600cc or 97kW),350,573,350,,,,,,,,,,,
November 2012 Second Open Bidding Exercise,2012-11-21,2012,Cat B (Cars above 1600cc or 97kW),351,487,342,,,,,,,,,,,
December 2012 First Open Bidding Exercise,2012-12-05,2012,Cat B (Cars above 1600cc or 97kW),350,493,337,,,,,,,,,,,
December 2012 Second Open Bidding Exercise,2012-12-19,2012,Cat B (Cars above 1600cc or 97kW),360,478,360,,,,,,,,,,,
January 2013 First Open Bidding Exercise,2013-01-09,2013,Cat B (Cars above 1600cc or 97kW),363,470,363,,,,,,,,,,,
January 2013 Second Open Bidding Exercise,2013-01-23,2013,Cat B (Cars above 1600cc or 97kW),351,452,351,,,,,,,,,,,
February 2013 First Open Bidding Exercise,2013-02-06,2013,Cat B (Cars above 1600cc or 97kW),302,431,278,,,,,,,,,,,
February 2013 Second Open Bidding Exercise,2013-02-20,2013,Cat B (Cars above 1600cc or 97kW),303,409,299,,,,,,,,,,,
March 2013 First Open Bidding Exercise,2013-03-13,2013,Cat B (Cars above 1600cc or 97kW),326,1028,326,,,,,,,,,,,
March 2013 Second Open Bidding Exercise,2013-03-27,2013,Cat B (Cars above 1600cc or 97kW),307,940,300,,,,,,,,,,,
April 2013 First Open Bidding Exercise,2013-04-10,2013,Cat B (Cars above 1600cc or 97kW),302,835,287,,,,,,,,,,,
April 2013 Second Open Bidding Exercise,2013-04-24,2013,Cat B (Cars above 1600cc or 97kW),310,683,281,,,,,,,,,,,
May 2013 First Open Bidding Exercise,2013-05-08,2013,Cat B (Cars above 1600cc or 97kW),317,601,317,,,,,,,,,,,
May 2013 Second Open Bidding Exercise,2013-05-22,2013,Cat B (Cars above 1600cc or 97kW),332,749,329,,,,,,,,,,,
June 2013 First Open Bidding Exercise,2013-06-05,2013,Cat B (Cars above 1600cc or 97kW),302,732,274,,,,,,,,,,,
June 2013 Second Open Bidding Exercise,2013-06-19,2013,Cat B (Cars above 1600cc or 97kW),305,734,304,,,,,,,,,,,
July 2013 First Open Bidding Exercise,2013-07-03,2013,Cat B (Cars above 1600cc or 97kW),331,652,325,,,,,,,,,,,
July 2013 Second Open Bidding Exercise,2013-07-17,2013,Cat B (Cars above 1600cc or 97kW),303,574,301,,,,,,,,,,,
August 2013 First Open Bidding Exercise,2013-08-07,2013,Cat B (Cars above 1600cc or 97kW),380,682,373,,,,,,,,,,,
August 2013 Second Open Bidding Exercise,2013-08-21,2013,Cat B (Cars above 1600cc or 97kW),375,627,371,,,,,,,,,,,
September 2013 First Open Bidding Exercise,2013-09-04,2013,Cat B (Cars above 1600cc or 97kW),381,623,378,,,,,,,,,,,
September 2013 Second Open Bidding Exercise,2013-09-18,2013,Cat B (Cars above 1600cc or 97kW),377,703,368,,,,,,,,,,,
October 2013 First Open Bidding Exercise,2013-10-09,2013,Cat B (Cars above 1600cc or 97kW),376,649,373,,,,,,,,,,,
October 2013 Second Open Bidding Exercise,2013-10-23,2013,Cat B (Cars above 1600cc or 97kW),382,515,376,,,,,,,,,,,
November 2013 First Open Bidding Exercise,2013-11-06,2013,Cat B (Cars above 1600cc or 97kW),376,482,376,,,,,,,,,,,
November 2013 Second Open Bidding Exercise,2013-11-20,2013,Cat B (Cars above 1600cc or 97kW),379,536,375,,,,,,,,,,,
December 2013 First Open Bidding Exercise,2013-12-04,2013,Cat B (Cars above 1600cc or 97kW),373,549,360,,,,,,,,,,,
December 2013 Second Open Bidding Exercise,2013-12-18,2013,Cat B (Cars above 1600cc or 97kW),377,500,357,,,,,,,,,,,
January 2014 First Open Bidding Exercise,2014-01-08,2014,Cat B (Cars above 1600cc or 97kW),386,581,377,,,,,,,,,,,
January 2014 Second Open Bidding Exercise,2014-01-22,2014,Cat B (Cars above 1600cc or 97kW),393,512,388,,,,,,,,,,,
February 2014 First Open Bidding Exercise,2014-02-05,2014,Cat B (Cars above 1600cc or 97kW),360,523,360,,,,,,,,,,,
February 2014 Second Open Bidding Exercise,2014-02-19,2014,Cat B (Cars above 1600cc or 97kW),355,519,353,,,,,,,,,,,
March 2014 First Open Bidding Exercise,2014-03-05,2014,Cat B (Cars above 1600cc or 97kW),350,499,337,,,,,,,,,,,
March 2014 Second Open Bidding Exercise,2014-03-19,2014,Cat B (Cars above 1600cc or 97kW),353,524,352,,,,,,,,,,,
April 2014 First Open Bidding Exercise,2014-04-09,2014,Cat B (Cars above 1600cc or 97kW),363,523,363,,,,,,,,,,,
April 2014 Second Open Bidding Exercise,2014-04-23,2014,Cat B (Cars above 1600cc or 97kW),351,486,349,,,,,,,,,,,
May 2014 First Open Bidding Exercise,2014-05-07,2014,Cat B (Cars above 1600cc or 97kW),483,778,472,,,,,,,,,,,
May 2014 Second Open Bidding Exercise,2014-05-21,2014,Cat B (Cars above 1600cc or 97kW),484,716,477,,,,,,,,,,,
June 2014 First Open Bidding Exercise,2014-06-04,2014,Cat B (Cars above 1600cc or 97kW),494,807,484,,,,,,,,,,,
June 2014 Second Open Bidding Exercise,2014-06-18,2014,Cat B (Cars above 1600cc or 97kW),490,716,475,,,,,,,,,,,
July 2014 First Open Bidding Exercise,2014-07-09,2014,Cat B (Cars above 1600cc or 97kW),493,812,491,,,,,,,,,,,
July 2014 Second Open Bidding Exercise,2014-07-23,2014,Cat B (Cars above 1600cc or 97kW),498,850,497,,,,,,,,,,,
August 2014 First Open Bidding Exercise,2014-08-06,2014,Cat B (Cars above 1600cc or 97kW),507,1090,501,,,,,,,,,,,
August 2014 Second Open Bidding Exercise,2014-08-20,2014,Cat B (Cars above 1600cc or 97kW),506,1137,502,,,,,,,,,,,
September 2014 First Open Bidding Exercise,2014-09-03,2014,Cat B (Cars above 1600cc or 97kW),511,909,511,,,,,,,,,,,
September 2014 Second Open Bidding Exercise,2014-09-17,2014,Cat B (Cars above 1600cc or 97kW),509,785,507,,,,,,,,,,,
October 2014 First Open Bidding Exercise,2014-10-09,2014,Cat B (Cars above 1600cc or 97kW),505,852,501,,,,,,,,,,,
October 2014 Second Open Bidding Exercise,2014-10-23,2014,Cat B (Cars above 1600cc or 97kW),507,822,506,,,,,,,,,,,
November 2014 First Open Bidding Exercise,2014-11-05,2014,Cat B (Cars above 1600cc or 97kW),574,832,559,,,,,,,,,,,
November 2014 Second Open Bidding Exercise,2014-11-19,2014,Cat B (Cars above 1600cc or 97kW),570,900,560,,,,,,,,,,,
December 2014 First Open Bidding Exercise,2014-12-03,2014,Cat B (Cars above 1600cc or 97kW),584,873,582,,,,,,,,,,,
December 2014 Second Open Bidding Exercise,2014-12-17,2014,Cat B (Cars above 1600cc or 97kW),579,755,572,,,,,,,,,,,
January 2015 First Open Bidding Exercise,2015-01-07,2015,Cat B (Cars above 1600cc or 97kW),571,833,570,,,,,,,,,,,
January 2015 Second Open Bidding Exercise,2015-01-21,2015,Cat B (Cars above 1600cc or 97kW),576,915,576,,,,,,,,,,,
February 2015 First Open Bidding Exercise,2015-02-04,2015,Cat B (Cars above 1600cc or 97kW),724,959,723,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,2015-02-17,2015,Cat B (Cars above 1600cc or 97kW),722,1037,721,,,,,,,,,,,
March 2015 First Open Bidding Exercise,2015-03-04,2015,Cat B (Cars above 1600cc or 97kW),723,1239,723,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,2015-03-18,2015,Cat B (Cars above 1600cc or 97kW),723,1354,717,,,,,,,,,,,
April 2015 First Open Bidding Exercise,2015-04-08,2015,Cat B (Cars above 1600cc or 97kW),722,1661,716,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,2015-04-22,2015,Cat B (Cars above 1600cc or 97kW),728,1525,708,,,,,,,,,,,
May 2015 First Open Bidding Exercise,2015-05-06,2015,Cat B (Cars above 1600cc or 97kW),934,1631,934,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,2015-05-20,2015,Cat B (Cars above 1600cc or 97kW),948,1401,948,,,,,,,,,,,
June 2015 First Open Bidding Exercise,2015-06-04,2015,Cat B (Cars above 1600cc or 97kW),929,1384,923,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,2015-06-17,2015,Cat B (Cars above 1600cc or 97kW),928,1144,926,,,,,,,,,,,
July 2015 First Open Bidding Exercise,2015-07-08,2015,Cat B (Cars above 1600cc or 97kW),934,1225,933,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,2015-07-22,2015,Cat B (Cars above 1600cc or 97kW),930,1218,929,,,,,,,,,,,
August 2015 First Open Bidding Exercise,2015-08-05,2015,Cat B (Cars above 1600cc or 97kW),1057,1634,1054,,,,,,,,,,,
August 2015 Second Open Bidding Exercise,2015-08-19,2015,Cat B (Cars above 1600cc or 97kW),1058,1551,1056,,,,,,,,,,,
September 2015 First Open Bidding Exercise,2015-09-09,2015,Cat B (Cars above 1600cc or 97kW),1059,1628,1058,,,,,,,,,,,
September 2015 Second Open Bidding Exercise,2015-09-23,2015,Cat B (Cars above 1600cc or 97kW),1058,1371,1041,,,,,,,,,,,
October 2015 First Open Bidding Exercise,2015-10-07,2015,Cat B (Cars above 1600cc or 97kW),1057,1373,1044,,,,,,,,,,,
October 2015 Second Open Bidding Exercise,2015-10-21,2015,Cat B (Cars above 1600cc or 97kW),1073,1367,1069,,,,,,,,,,,
November 2015 First Open Bidding Exercise,2015-11-04,2015,Cat B (Cars above 1600cc or 97kW),1037,1267,1031,,,,,,,,,,,
November 2015 Second Open Bidding Exercise,2015-11-18,2015,Cat B (Cars above 1600cc or 97kW),1029,1388,1026,,,,,,,,,,,
December 2015 First Open Bidding Exercise,2015-12-09,2015,Cat B (Cars above 1600cc or 97kW),1031,1324,1028,,,,,,,,,,,
December 2015 Second Open Bidding Exercise,2015-12-23,2015,Cat B (Cars above 1600cc or 97kW),1027,1200,1025,,,,,,,,,,,
January 2016 First Open Bidding Exercise,2016-01-06,2016,Cat B (Cars above 1600cc or 97kW),1027,1262,1019,,,,,,,,,,,
January 2016 Second Open Bidding Exercise,2016-01-20,2016,Cat B (Cars above 1600cc or 97kW),1026,1334,1026,,,,,,,,,,,
February 2016 First Open Bidding Exercise,2016-02-03,2016,Cat B (Cars above 1600cc or 97kW),1216,1624,1216,,,,,,,,,,,
February 2016 Second Open Bidding Exercise,2016-02-17,2016,Cat B (Cars above 1600cc or 97kW),1208,2898,1197,,,,,,,,,,,
March 2016 First Open Bidding Exercise,2016-03-09,2016,Cat B (Cars above 1600cc or 97kW),1209,2706,1200,,,,,,,,,,,
March 2016 Second Open Bidding Exercise,2016-03-23,2016,Cat B (Cars above 1600cc or 97kW),1220,2491,1218,,,,,,,,,,,
April 2016 First Open Bidding Exercise,2016-04-06,2016,Cat B (Cars above 1600cc or 97kW),1218,2247,1218,,,,,,,,,,,
April 2016 Second Open Bidding Exercise,2016-04-20,2016,Cat B (Cars above 1600cc or 97kW),1211,2364,1136,,,,,,,,,,,
May 2016 First Open Bidding Exercise,2016-05-05,2016,Cat B (Cars above 1600cc or 97kW),1462,2435,1454,,,,,,,,,,,
May 2016 Second Open Bidding Exercise,2016-05-18,2016,Cat B (Cars above 1600cc or 97kW),1537,2322,1536,,,,,,,,,,,
June 2016 First Open Bidding Exercise,2016-06-08,2016,Cat B (Cars above 1600cc or 97kW),1470,3436,1463,,,,,,,,,,,
June 2016 Second Open Bidding Exercise,2016-06-22,2016,Cat B (Cars above 1600cc or 97kW),1463,2914,1462,,,,,,,,,,,
July 2016 First Open Bidding Exercise,2016-07-07,2016,Cat B (Cars above 1600cc or 97kW),1469,2547,1469,,,,,,,,,,,
July 2016 Second Open Bidding Exercise,2016-07-20,2016,Cat B (Cars above 1600cc or 97kW),1463,2439,1463,,,,,,,,,,,
August 2016 First Open Bidding Exercise,2016-08-03,2016,Cat B (Cars above 1600cc or 97kW),1336,2156,1300,,,,,,,,,,,
August 2016 Second Open Bidding Exercise,2016-08-17,2016,Cat B (Cars above 1600cc or 97kW),1336,2088,1334,,,,,,,,,,,
September 2016 First Open Bidding Exercise,2016-09-07,2016,Cat B (Cars above 1600cc or 97kW),1372,2183,1358,,,,,,,,,,,
September 2016 Second Open Bidding Exercise,2016-09-21,2016,Cat B (Cars above 1600cc or 97kW),1338,2017,1334,,,,,,,,,,,
October 2016 First Open Bidding Exercise,2016-10-05,2016,Cat B (Cars above 1600cc or 97kW),1350,1785,1246,,,,,,,,,,,
October 2016 Second Open Bidding Exercise,2016-10-19,2016,Cat B (Cars above 1600cc or 97kW),1340,1768,1329,,,,,,,,,,,
November 2016 First Open Bidding Exercise,2016-11-09,2016,Cat B (Cars above 1600cc or 97kW),1347,2012,1345,,,,,,,,,,,
November 2016 Second Open Bidding Exercise,2016-11-23,2016,Cat B (Cars above 1600cc or 97kW),1254,1708,1253,,,,,,,,,,,
December 2016 First Open Bidding Exercise,2016-12-07,2016,Cat B (Cars above 1600cc or 97kW),1245,1494,1237,,,,,,,,,,,
December 2016 Second Open Bidding Exercise,2016-12-21,2016,Cat B (Cars above 1600cc or 97kW),1244,2052,1242,,,,,,,,,,,
January 2017 First Open Bidding Exercise,2017-01-05,2017,Cat B (Cars above 1600cc or 97kW),1252,1835,1243,,,,,,,,,,,
January 2017 Second Open Bidding Exercise,2017-01-18,2017,Cat B (Cars above 1600cc or 97kW),1246,1967,1226,,,,,,,,,,,
February 2017 First Open Bidding Exercise,2017-02-08,2017,Cat B (Cars above 1600cc or 97kW),1366,1783,1352,,,,,,,,,,,
February 2017 Second Open Bidding Exercise,2017-02-24,2017,Cat B (Cars above 1600cc or 97kW),1377,2126,1377,,,,,,,,,,,
March 2017 First Open Bidding Exercise,2017-03-15,2017,Cat B (Cars above 1600cc or 97kW),1371,2298,1368,,,,,,,,,,,
March 2017 Second Open Bidding Exercise,2017-03-29,2017,Cat B (Cars above 1600cc or 97kW),1357,2081,1345,,,,,,,,,,,
April 2017 First Open Bidding Exercise,2017-04-12,2017,Cat B (Cars above 1600cc or 97kW),1360,1970,1360,,,,,,,,,,,
April 2017 Second Open Bidding Exercise,2017-04-26,2017,Cat B (Cars above 1600cc or 97kW),1369,2000,1365,,,,,,,,,,,
May 2017 First Open Bidding Exercise,2017-05-11,2017,Cat B (Cars above 1600cc or 97kW),1320,1996,1316,,,,,,,,,,,
May 2017 Second Open Bidding Exercise,2017-05-24,2017,Cat B (Cars above 1600cc or 97kW),1325,1725,1325,,,,,,,,,,,
June 2017 First Open Bidding Exercise,2017-06-07,2017,Cat B (Cars above 1600cc or 97kW),1325,1582,1324,,,,,,,,,,,
June 2017 Second Open Bidding Exercise,2017-06-21,2017,Cat B (Cars above 1600cc or 97kW),1321,1651,1320,,,,,,,,,,,
July 2017 First Open Bidding Exercise,2017-07-05,2017,Cat B (Cars above 1600cc or 97kW),1322,1910,1321,,,,,,,,,,,
July 2017 Second Open Bidding Exercise,2017-07-19,2017,Cat B (Cars above 1600cc or 97kW),1322,1784,1314,,,,,,,,,,,
August 2017 First Open Bidding Exercise,2017-08-10,2017,Cat B (Cars above 1600cc or 97kW),1286,1978,1281,,,,,,,,,,,
August 2017 Second Open Bidding Exercise,2017-08-23,2017,Cat B (Cars above 1600cc or 97kW),1293,1683,1290,,,,,,,,,,,
September 2017 First Open Bidding Exercise,2017-09-06,2017,Cat B (Cars above 1600cc or 97kW),1290,1704,1290,,,,,,,,,,,
September 2017 Second Open Bidding Exercise,2017-09-20,2017,Cat B (Cars above 1600cc or 97kW),1288,1859,1288,,,,,,,,,,,
October 2017 First Open Bidding Exercise,2017-10-04,2017,Cat B (Cars above 1600cc or 97kW),1285,1646,1284,,,,,,,,,,,
October 2017 Second Open Bidding Exercise,2017-10-19,2017,Cat B (Cars above 1600cc or 97kW),1285,1718,1277,,,,,,,,,,,
November 2017 First Open Bidding Exercise,2017-11-08,2017,Cat B (Cars above 1600cc or 97kW),1376,2515,1375,,,,,,,,,,,
November 2017 Second Open Bidding Exercise,2017-11-22,2017,Cat B (Cars above 1600cc or 97kW),1383,2173,1383,,,,,,,,,,,
December 2017 First Open Bidding Exercise,2017-12-06,2017,Cat B (Cars above 1600cc or 97kW),1375,1805,1375,,,,,,,,,,,
December 2017 Second Open Bidding Exercise,2017-12-20,2017,Cat B (Cars above 1600cc or 97kW),1374,1634,1367,,,,,,,,,,,
January 2018 First Open Bidding Exercise,2018-01-04,2018,Cat B (Cars above 1600cc or 97kW),1374,1811,1368,,,,,,,,,,,
January 2018 Second Open Bidding Exercise,2018-01-17,2018,Cat B (Cars above 1600cc or 97kW),1381,1654,1380,,,,,,,,,,,
February 2018 First Open Bidding Exercise,2018-02-07,2018,Cat B (Cars above 1600cc or 97kW),1396,1831,1396,,,,,,,,,,,
February 2018 Second Open Bidding Exercise,2018-02-21,2018,Cat B (Cars above 1600cc or 97kW),1391,1744,1379,,,,,,,,,,,
March 2018 First Open Bidding Exercise,2018-03-07,2018,Cat B (Cars above 1600cc or 97kW),1390,1731,1390,,,,,,,,,,,
March 2018 Second Open Bidding Exercise,2018-03-21,2018,Cat B (Cars above 1600cc or 97kW),1402,1639,1374,,,,,,,,,,,
April 2018 First Open Bidding Exercise,2018-04-04,2018,Cat B (Cars above 1600cc or 97kW),1389,1689,1388,,,,,,,,,,,
April 2018 Second Open Bidding Exercise,2018-04-18,2018,Cat B (Cars above 1600cc or 97kW),1417,1919,1414,,,,,,,,,,,
May 2018 First Open Bidding Exercise,2018-05-09,2018,Cat B (Cars above 1600cc or 97kW),1280,2155,1267,,,,,,,,,,,
May 2018 Second Open Bidding Exercise,2018-05-23,2018,Cat B (Cars above 1600cc or 97kW),1283,1915,1247,,,,,,,,,,,
June 2018 First Open Bidding Exercise,2018-06-06,2018,Cat B (Cars above 1600cc or 97kW),1293,1727,1285,,,,,,,,,,,
June 2018 Second Open Bidding Exercise,2018-06-20,2018,Cat B (Cars above 1600cc or 97kW),1316,1729,1311,,,,,,,,,,,
July 2018 First Open Bidding Exercise,2018-07-04,2018,Cat B (Cars above 1600cc or 97kW),1288,1637,1288,,,,,,,,,,,
July 2018 Second Open Bidding Exercise,2018-07-18,2018,Cat B (Cars above 1600cc or 97kW),1285,1919,1278,,,,,,,,,,,
August 2018 First Open Bidding Exercise,2018-08-08,2018,Cat B (Cars above 1600cc or 97kW),1265,2132,1256,,,,,,,,,,,
August 2018 Second Open Bidding Exercise,2018-08-23,2018,Cat B (Cars above 1600cc or 97kW),1272,2031,1259,,,,,,,,,,,
September 2018 First Open Bidding Exercise,2018-09-05,2018,Cat B (Cars above 1600cc or 97kW),1274,1959,1268,,,,,,,,,,,
September 2018 Second Open Bidding Exercise,2018-09-19,2018,Cat B (Cars above 1600cc or 97kW),1278,1859,1269,,,,,,,,,,,
October 2018 First Open Bidding Exercise,2018-10-03,2018,Cat B (Cars above 1600cc or 97kW),1271,1886,1241,,,,,,,,,,,
October 2018 Second Open Bidding Exercise,2018-10-17,2018,Cat B (Cars above 1600cc or 97kW),1273,1856,1267,,,,,,,,,,,
November 2018 First Open Bidding Exercise,2018-11-08,2018,Cat B (Cars above 1600cc or 97kW),1265,2142,1262,,,,,,,,,,,
November 2018 Second Open Bidding Exercise,2018-11-21,2018,Cat B (Cars above 1600cc or 97kW),1241,1786,1234,,,,,,,,,,,
December 2018 First Open Bidding Exercise,2018-12-05,2018,Cat B (Cars above 1600cc or 97kW),1239,1780,1230,,,,,,,,,,,
December 2018 Second Open Bidding Exercise,2018-12-19,2018,Cat B (Cars above 1600cc or 97kW),1243,1804,1235,,,,,,,,,,,
January 2019 First Open Bidding Exercise,2019-01-09,2019,Cat B (Cars above 1600cc or 97kW),1245,1818,1242,,,,,,,,,,,
January 2019 Second Open Bidding Exercise,2019-01-23,2019,Cat B (Cars above 1600cc or 97kW),1244,2119,1230,,,,,,,,,,,
February 2019 First Open Bidding Exercise,2019-02-08,2019,Cat B (Cars above 1600cc or 97kW),1202,1937,1169,,,,,,,,,,,
February 2019 Second Open Bidding Exercise,2019-02-20,2019,Cat B (Cars above 1600cc or 97kW),1214,1993,1213,,,,,,,,,,,
March 2019 First Open Bidding Exercise,2019-03-06,2019,Cat B (Cars above 1600cc or 97kW),1233,1903,1230,,,,,,,,,,,
March 2019 Second Open Bidding Exercise,2019-03-20,2019,Cat B (Cars above 1600cc or 97kW),1201,1878,1195,,,,,,,,,,,
April 2019 First Open Bidding Exercise,2019-04-03,2019,Cat B (Cars above 1600cc or 97kW),1202,1782,1202,,,,,,,,,,,
April 2019 Second Open Bidding Exercise,2019-04-17,2019,Cat B (Cars above 1600cc or 97kW),1205,1634,1181,,,,,,,,,,,
May 2019 First Open Bidding Exercise,2019-05-08,2019,Cat B (Cars above 1600cc or 97kW),1139,1360,1139,,,,,,,,,,,
May 2019 Second Open Bidding Exercise,2019-05-23,2019,Cat B (Cars above 1600cc or 97kW),1163,1407,1161,,,,,,,,,,,
June 2019 First Open Bidding Exercise,2019-06-06,2019,Cat B (Cars above 1600cc or 97kW),1139,1346,1137,,,,,,,,,,,
June 2019 Second Open Bidding Exercise,2019-06-19,2019,Cat B (Cars above 1600cc or 97kW),1141,1418,1137,,,,,,,,,,,
July 2019 First Open Bidding Exercise,2019-07-03,2019,Cat B (Cars above 1600cc or 97kW),1141,1390,1135,,,,,,,,,,,
